[2024-11-21 15:59:11] info: 	z2m: Logging to console, file (filename: log.log)
[2024-11-21 15:59:11] info: 	z2m: Starting Zigbee2MQTT version 1.41.0 (commit #cc31cea)
[2024-11-21 15:59:11] info: 	z2m: Starting zigbee-herdsman (2.1.7)
[2024-11-21 15:59:12] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyUSB0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2024-11-21 15:59:12] info: 	zh:zstack:znp: Serialport opened
[2024-11-21 15:59:15] info: 	z2m: zigbee-herdsman started (resumed)
[2024-11-21 15:59:15] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20220219,"transportrev":2},"type":"zStack3x0"}'
[2024-11-21 15:59:15] info: 	z2m: Currently 0 devices are joined.
[2024-11-21 15:59:15] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[2024-11-21 15:59:15] warning: 	z2m: Allowing new devices to join.
[2024-11-21 15:59:15] warning: 	z2m: Set `permit_join` to `false` once you joined all devices.
[2024-11-21 15:59:15] info: 	z2m: Zigbee: allowing new devices to join.
[2024-11-21 15:59:15] info: 	z2m: Connecting to MQTT server at mqtt://mosquitto
[2024-11-21 15:59:15] info: 	z2m: Connected to MQTT server
[2024-11-21 15:59:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2024-11-21 15:59:15] info: 	z2m: Started frontend on port 8080
[2024-11-21 15:59:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2024-11-21 15:59:15] info: 	z2m: Zigbee2MQTT started!
[2024-11-21 15:59:20] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/binary_sensor/1221051039810110150109113116116_0x00124b002f8b4661/connection_state/config', payload '{"device":{"hw_version":"zStack3x0 20220219","identifiers":["zigbee2mqtt_bridge_0x00124b002f8b4661"],"manufacturer":"Zigbee2MQTT","model":"Bridge","name":"Zigbee2MQTT Bridge","sw_version":"1.41.0"},"device_class":"connectivity","entity_category":"diagnostic","name":"Connection state","object_id":"zigbee2mqtt_bridge_connection_state","origin":{"name":"Zigbee2MQTT","sw":"1.41.0","url":"https://www.zigbee2mqtt.io"},"payload_off":"offline","payload_on":"online","state_topic":"zigbee2mqtt/bridge/state","unique_id":"bridge_0x00124b002f8b4661_connection_state_zigbee2mqtt","value_template":"{{ value_json.state }}"}'
