[2025-03-31 11:36:30] info: 	z2m: Logging to console, file (filename: log.log)
[2025-03-31 11:36:30] info: 	z2m: Starting Zigbee2MQTT version 1.41.0 (commit #cc31cea)
[2025-03-31 11:36:30] info: 	z2m: Starting zigbee-herdsman (2.1.7)
[2025-03-31 11:36:31] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyUSB0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2025-03-31 11:36:31] info: 	zh:zstack:znp: Serialport opened
[2025-03-31 11:36:31] info: 	z2m: zigbee-herdsman started (resumed)
[2025-03-31 11:36:31] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20220219,"transportrev":2},"type":"zStack3x0"}'
[2025-03-31 11:36:31] info: 	z2m: 0x32d004602bd5b370 (0x32d004602bd5b370): LSPA9 - Elivco Smart plug (with power monitoring) (Router)
[2025-03-31 11:36:31] info: 	z2m: Currently 1 devices are joined.
[2025-03-31 11:36:31] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[2025-03-31 11:36:31] warning: 	z2m: Allowing new devices to join.
[2025-03-31 11:36:31] warning: 	z2m: Set `permit_join` to `false` once you joined all devices.
[2025-03-31 11:36:31] info: 	z2m: Zigbee: allowing new devices to join.
[2025-03-31 11:36:32] info: 	z2m: Connecting to MQTT server at mqtt://mosquitto
[2025-03-31 11:36:32] info: 	z2m: Connected to MQTT server
[2025-03-31 11:36:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload 'online'
[2025-03-31 11:36:32] info: 	z2m: Started frontend on port 8080
[2025-03-31 11:36:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/config', payload '{"commit":"cc31cea","coordinator":{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20220219,"transportrev":2},"type":"zStack3x0"},"log_level":"info","network":{"channel":11,"extendedPanID":"0x00124b002f8b4661","panID":6754},"permit_join":true,"version":"1.41.0"}'
[2025-03-31 11:36:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x32d004602bd5b370', payload '{"voltage":230}'
[2025-03-31 11:36:32] info: 	z2m: Zigbee2MQTT started!
[2025-03-31 11:36:42] info: 	z2m: Configuring '0x32d004602bd5b370'
[2025-03-31 11:36:43] info: 	z2m: Successfully configured '0x32d004602bd5b370'
[2025-03-31 11:36:48] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x32d004602bd5b370', payload '{"linkquality":153,"voltage":228}'
